BenchmarkName,TestFilePath,TestCaseName,InvokeFunPre_Count_Raw,InvokeFunPre_Count_Normalized,Invokes_with_callback_Raw,Invokes_with_callback_Normalized,Cbs_Total_delay_ms_Raw,Cbs_Total_delay_ms_Normalized,Cb_Delays_Greater_Than_100_ms_Raw,Cb_Delays_Greater_Than_100_ms_Normalized,InvokesInterval_Greater_Than_100_ms_Raw,InvokesInterval_Greater_Than_100_ms_Normalized,AsyncFunction_Count_Raw,AsyncFunction_Count_Normalized,Await_Count_Raw,Await_Count_Normalized,Unique_Asynchook_ids_Raw,Unique_Asynchook_ids_Normalized,totalSettledPromises_Raw,totalSettledPromises_Normalized,avgResolved_Raw,avgResolved_Normalized,avgRejected_Raw,avgRejected_Normalized,longestResolved_Raw,longestResolved_Normalized,resolvedPercentage_Raw,resolvedPercentage_Normalized,awaitIntervals_Raw,awaitIntervals_Normalized,Total_duration_s_Raw,HasEventRace,Total_duration_s_Normalized
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/routers/indexSpec.js,Router index GET / should return html,0.001568500189301747,0.0947885196374622,0.003805569970593323,0.7586206896551724,0.005763391621480914,0.2168400494406654,0.012935323383084577,0.5909090909090909,0.28735632183908044,0.6,0.0,0.0,0.0,0.0,0.0031141868512110727,0.8095238095238095,0.018080667593880387,1.0,0.0008630304281361096,0.8080267558528428,0.0,0.0,0.004488496888736655,0.8779761904761905,1.0,1.0,0.0,0.0,0.3134555643540233,True,0.5568327974276525
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/utilsSpec.js,utils isValidDatabaseName should be valid,9.615326830968564e-05,0.0022658610271903,8.64902266043937e-05,0.0172413793103448,6.534245981194228e-07,2.45842433531e-05,0.0,0.0,0.034482758620689655,0.05,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0002961863333202488,0.117391304347826,0.0,0.0,0.000421019580978478,0.0297619047619047,1.0,1.0,0.0,0.0,0.1771131550628414,False,0.017041800643086906
mongo-express,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/mongo-express/test/lib/utilsSpec.js,utils isValidDatabaseName should be invalid,0.00015624906100323915,0.0060422960725075,8.64902266043937e-05,0.0172413793103448,4.938024497335659e-07,1.85786694097e-05,0.0,0.0,0.034482758620689655,0.05,0.0,0.0,0.0,0.0,0.00017301038062283736,0.0,0.0013908205841446453,0.0,0.0003140288835202638,0.1391304347826087,0.0,0.0,0.0004352914311811383,0.0327380952380952,1.0,1.0,0.0,0.0,0.1728086739355546,False,0.0
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,"Cursor Without sorting Without query, an empty query or a simple query and no skip or limit",0.021340015985480854,0.0896340071524589,0.011070749005362394,0.0495356037151702,0.002067395899964164,0.0020673958999641,0.006965174129353233,0.0069651741293532,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.009688581314878894,0.3181818181818182,0.0013908205841446453,1.0,0.0015094797469212679,0.3114886731391585,0.0,0.0,0.0017054860992179025,0.3376,1.0,1.0,0.0,0.0,0.23026943615358064,False,0.10707047962170672
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Without sorting With an empty collection,0.020468626991424328,0.0859563243462601,0.008822003113648157,0.0394736842105263,0.0018624592641541217,0.0018624592641541,0.003980099502487562,0.0039800995024875,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.00916955017301038,0.3011363636363636,0.0013908205841446453,1.0,0.0006351947871205335,0.1132686084142394,0.0,0.0,0.000735000285437004,0.12,1.0,1.0,0.0,0.0,0.2314064689041847,False,0.10864670119342489
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Without sorting With a limit,0.03877981502515009,0.1632383899358307,0.014530358069538143,0.0650154798761609,0.0017722067835027713,0.0017722067835027,0.001990049751243781,0.0019900497512437,0.06896551724137931,0.1666666666666666,0.0,0.0,0.0,0.0,0.016262975778546712,0.5340909090909091,0.0013908205841446453,1.0,0.0009599292007608063,0.1868932038834951,0.0,0.0,0.0010204372894902095,0.184,1.0,1.0,0.0,0.0,0.2471421900062943,False,0.13046048187345186
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Without sorting With a skip,0.019711420003485556,0.0827605448043219,0.007438159487977858,0.03328173374613,0.0017272138546490503,0.001727213854649,0.003980099502487562,0.0039800995024875,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.008131487889273356,0.2670454545454545,0.0013908205841446453,1.0,0.0007957777389206685,0.1496763754045307,0.0,0.0,0.0008563110121596163,0.1472,1.0,1.0,0.0,0.0,0.21920367099145194,False,0.09173046611123613
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Without sorting With a limit and a skip and method chaining,0.019711420003485556,0.0827605448043219,0.007438159487977858,0.03328173374613,0.001665986105670095,0.00166598610567,0.0029850746268656712,0.0029850746268656,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.008131487889273356,0.2670454545454545,0.0013908205841446453,1.0,0.0006566058473605515,0.1181229773462783,0.0,0.0,0.0007207284352343438,0.1168,1.0,1.0,0.0,0.0,0.2301679153722767,False,0.10692974555280337
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results Using one sort,0.02091934543662598,0.0878585740736043,0.008043591074208614,0.0359907120743034,0.0017131634219205996,0.0017131634219205,0.001990049751243781,0.0019900497512437,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.00865051903114187,0.2840909090909091,0.0013908205841446453,1.0,0.0008707164497607314,0.1666666666666666,0.0,0.0,0.0009348061882742478,0.1648,1.0,1.0,0.0,0.0,0.22074678686727173,False,0.09386962395856784
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results Sorting strings with custom string comparison function,0.03753583211639353,0.1579881806883607,0.010638297872340425,0.0476006191950464,0.0020296499204230855,0.002029649920423,0.004975124378109453,0.0049751243781094,0.11494252873563218,0.3,0.0,0.0,0.0,0.0,0.008823529411764706,0.2897727272727273,0.0013908205841446453,1.0,0.0008921275100007494,0.1715210355987055,0.0,0.0,0.0009562139635782383,0.1696,1.0,1.0,0.0,0.0,0.25524354835434815,False,0.14169106057194317
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results With an empty collection,0.020474636570693684,0.0859816876759581,0.008822003113648157,0.0394736842105263,0.001766618461189549,0.0017666184611895,0.003980099502487562,0.0039800995024875,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.00916955017301038,0.3011363636363636,0.0013908205841446453,1.0,0.0007672296586006444,0.1432038834951456,0.0,0.0,0.0008705828623622766,0.1504,1.0,1.0,0.0,0.0,0.22635073399524883,False,0.1016381445620355
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results Ability to chain sorting and exec,0.020769105954892095,0.0872244908311563,0.008043591074208614,0.0359907120743034,0.0017485507018110546,0.001748550701811,0.003980099502487562,0.0039800995024875,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.008996539792387544,0.2954545454545454,0.0013908205841446453,1.0,0.0010919640722409172,0.2168284789644013,0.0,0.0,0.001205971342124793,0.2256,1.0,1.0,0.0,0.0,0.2137012446447788,False,0.08410267957667188
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results Using limit and sort,0.02088328796100985,0.0877063940954168,0.008043591074208614,0.0359907120743034,0.0019279708958240699,0.001927970895824,0.003980099502487562,0.0039800995024875,0.04597701149425287,0.1,0.0,0.0,0.0,0.0,0.008996539792387544,0.2954545454545454,0.0013908205841446453,1.0,0.0009920457911208333,0.1941747572815534,0.0,0.0,0.0010989324656048409,0.2016,1.0,1.0,0.0,0.0,0.22056404946092464,False,0.09361630263454172
nedb,/home/pedroubuntu/coisasNodeRT/NodeRT-OpenSource/projects/exploratory/nedb/test/cursor.test.js,Cursor Sorting of the results Using a limit higher than total number of docs shouldnt cause an error,0.020053966021838808,0.0842062545971035,0.007524649714582252,0.0336687306501548,0.0018020480551454005,0.0018020480551454,0.004975124378109453,0.0049751243781094,0.06896551724137931,0.1666666666666666,0.0,0.0,0.0,0.0,0.008304498269896194,0.2727272727272727,0.0013908205841446453,1.0,0.0006815854176405725,0.1237864077669902,0.0,0.0,0.0007421362105383342,0.1216,1.0,1.0,0.0,0.0,0.21408702361373375,False,0.08463746903850482
